Name,geo_loc
India Hyderabad,"(17.38878595, 78.4610647345315)"
India Vishakhapatnam,
India Visakhapatnam,"(17.7231276, 83.3012842)"
India Tirupati,"(13.6316368, 79.4231711)"
India Vijayawada,"(16.5087586, 80.6185102)"
India Patancheru,"(17.5286092, 78.2674254)"
India Ramagundam,"(18.7604337, 79.4810593)"
India Kurnool,"(15.8309251, 78.0425373)"
India Guntur,"(16.2915189, 80.4541588)"
India Nalgonda,"(16.8579636, 79.2174935331555)"
India Nellore,"(14.4493717, 79.9873763)"
India Warangal,"(17.9899747, 79.6043994)"
India Chittoor,"(13.30374115, 78.9877010160408)"
India Khammam,"(17.2465351, 80.1500326)"
India Kakinada,"(16.9437385, 82.2350607)"
India Ananthapur,"(19.5048853, 78.4309345)"
India Eluru,"(16.7104257, 81.1153816)"
India Kadapa,"(14.4671491, 78.8228877)"
India Karimnagar,"(18.4346438, 79.1322648)"
India Nizamabad,"(18.6732693, 78.0978477)"
India Ongole,"(15.5058714, 80.0499454)"
India Rajahmundry,"(17.0050454, 81.7804732)"
India Sangareddy,"(17.86859205, 77.8228199507381)"
India Srikakulam,"(18.2949396, 83.893875)"
India Vizianagaram,"(18.1154979, 83.3978806)"
India Itanagar,"(27.1018415, 93.6292125)"
India Naharlagun,"(27.1032229, 93.6923098)"
India Guwahati,"(26.1805978, 91.753943)"
India Bongaigaon,"(26.4800126, 90.5580387)"
India Dibrugarh,"(27.4844597, 94.9019447)"
India Golaghat,"(26.5105861, 93.9677246)"
India Hailakandi,"(24.51413755, 92.6343526862298)"
India Sibsagar,"(26.9836004, 94.6400392809356)"
India Tezpur,"(26.6229928, 92.7976082)"
India Silchar,"(24.829588, 92.797148)"
India Daranga,
India Lakhimpur,"(27.946309, 80.7815166)"
India Nagaon,"(26.3482238, 92.6858215)"
India Nalbari,"(26.445568, 91.4354335)"
India Sivasagar,"(26.9834936, 94.6394226)"
India Silcher,
India Tinsukia,"(27.4879722, 95.3601855)"
India Margherita,"(27.2895321, 95.6727142)"
India Sindri,"(23.6751544, 86.4896289)"
India Jharia,"(23.7414767, 86.4189974)"
India Dhanbad,"(23.7952809, 86.4309638)"
India Jamshedpur,"(22.8015194, 86.2029579)"
India Patna,"(25.6093239, 85.1235252)"
India Chandigarh,"(30.7194022, 76.7646552)"
India Korba,"(22.51976955, 82.6295146241682)"
India Bhilai Nagar,"(21.2012352, 81.3352119)"
India Raipur,"(20.6985098, 82.1602584107996)"
India Bhilai,"(21.2120677, 81.3732849)"
India Bilaspur,"(22.0785627, 82.1476475)"
India Daman,"(20.4169701, 72.833173)"
India Silvassa,"(20.2736768, 73.0045787)"
India Khadoli,"(20.1639614, 73.0309208)"
India Daman Diu & Nagar,
India Delhi,"(28.6517178, 77.2219388)"
India Ponda,"(15.39793505, 74.0079787675446)"
India Vasco,"(15.398403, 73.8129178)"
India Panjim,"(15.4989946, 73.8282141)"
India Panaji,"(15.4989946, 73.8282141)"
India Mormugao,"(15.4081535, 73.7929825)"
India Amona,"(15.5282038, 73.9814505)"
India Assanora,
